epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.059,1.29656,3.90466,1.40649,0.002,0.6,0.1984,0.19629,1.17782,4.15779,1.50657,4e-05,4e-05,4e-05
2,220.643,1.03476,3.50214,1.23899,0.00233,0.7,0.20163,0.19875,0.87008,3.80638,1.07099,9.802e-05,9.802e-05,9.802e-05
3,294.314,0.89209,3.11103,1.06879,0.003,0.9,0.21114,0.20777,0.70866,3.53083,0.90279,0.000153664,0.000153664,0.000153664
4,365.397,0.92034,2.63186,1.06006,0.00333,1,0.2227,0.21504,0.73421,3.38141,0.87559,0.000206932,0.000206932,0.000206932
5,461.159,0.90242,2.2006,1.00814,0.00333,1,0.41908,0.33157,0.79213,3.28222,0.90007,0.000257824,0.000257824,0.000257824
6,527.818,0.82937,1.79553,1.01047,0.00333,1,0.51437,0.3758,0.73954,3.26821,0.90202,0.00030634,0.00030634,0.00030634
7,608.797,0.7894,1.71137,0.92609,0.00333,1,0.56256,0.44639,0.73256,3.26813,0.89803,0.00035248,0.00035248,0.00035248
8,683.675,0.80474,1.61782,0.94668,0.00333,1,0.56702,0.4717,0.72253,3.25822,0.89708,0.000396244,0.000396244,0.000396244
9,765.703,0.81762,1.60091,0.91773,1,0.29239,0.57265,0.49541,0.73064,3.25954,0.90407,0.000437632,0.000437632,0.000437632
10,835.601,0.9188,1.58044,0.97719,0.31014,0.7,0.64058,0.53712,0.75204,3.25941,0.91424,0.000476644,0.000476644,0.000476644
11,902.98,0.84405,1.48634,0.99079,0.00333,1,0.54579,0.38898,0.75925,3.38722,0.94687,0.00051328,0.00051328,0.00051328
12,974.695,0.8094,1.56327,0.9759,0.003,0.9,0.4191,0.29104,0.82719,3.48541,0.95757,0.00054754,0.00054754,0.00054754
13,1033.46,0.75721,1.54125,0.89068,0.003,0.9,0.33142,0.29377,0.9271,3.49262,0.94687,0.000579424,0.000579424,0.000579424
14,1092.54,0.82394,1.57343,0.94475,0.005,0.6,0.39987,0.32425,0.95175,3.39962,0.95134,0.000608932,0.000608932,0.000608932
15,1147.21,0.75643,1.34462,0.91772,0.89839,0.3,0.35546,0.272,1.0341,3.51309,1.03208,0.000636064,0.000636064,0.000636064
16,1207.1,0.66028,1.39758,0.87888,0.00267,0.8,0.26644,0.18822,1.07029,3.74361,1.15851,0.00066082,0.00066082,0.00066082
17,1327.87,0.82627,1.45279,0.99093,0.00307,0.3126,0.16745,0.14163,1.26077,3.989,1.26471,0.0006832,0.0006832,0.0006832
18,1517.45,0.87077,1.54154,0.9729,0.85346,0.2,0.24845,0.20551,1.10926,3.74292,1.15229,0.000703204,0.000703204,0.000703204
19,1656.45,0.83575,1.30798,1.03655,0.67028,0.2,0.2861,0.24407,1.05018,3.47658,1.11303,0.000720832,0.000720832,0.000720832
20,1718.61,0.77718,1.2885,0.94022,1,0.28967,0.3459,0.31889,0.97965,3.3534,1.02213,0.000736084,0.000736084,0.000736084
21,1785.6,0.83029,1.41238,0.91939,1,0.29302,0.38963,0.32219,0.92108,3.14633,0.99007,0.00074896,0.00074896,0.00074896
22,1880.69,0.72185,1.4344,0.98324,1,0.29108,0.34812,0.25795,0.97877,3.25041,1.04378,0.00075946,0.00075946,0.00075946
23,1962.78,0.8756,1.35242,1.01947,1,0.28931,0.31236,0.21652,1.0503,3.38588,1.09367,0.000767584,0.000767584,0.000767584
24,2041.1,0.8319,1.29998,1.01271,1,0.29755,0.31084,0.23643,1.0035,3.35435,1.04364,0.000773332,0.000773332,0.000773332
25,2122.9,0.95069,1.55576,1.04489,1,0.29609,0.30967,0.26172,1.07862,3.20603,1.08648,0.000776704,0.000776704,0.000776704
26,2275.59,0.89244,1.34077,0.95296,0.99661,0.3,0.31704,0.25518,1.12615,3.05051,1.1089,0.0007777,0.0007777,0.0007777
27,2433.29,0.80784,1.21666,1.00024,0.36847,0.3,0.27162,0.21253,1.06556,3.08585,1.07957,0.00077632,0.00077632,0.00077632
28,2550.73,0.82958,1.17219,0.93402,0.97125,0.2,0.27256,0.23411,1.03946,3.10109,1.0791,0.000772564,0.000772564,0.000772564
29,2607.55,0.7453,1.23384,0.95799,0.97125,0.2,0.27256,0.23411,1.03946,3.10109,1.0791,0.000766432,0.000766432,0.000766432
30,2665.33,0.78017,1.23497,0.95851,0.96339,0.2,0.27407,0.23375,0.95234,3.12627,1.0467,0.000757924,0.000757924,0.000757924
31,2724.42,0.83997,1.3198,1.03069,0.92322,0.2,0.23998,0.2285,0.98169,3.17943,1.02202,0.00074704,0.00074704,0.00074704
32,2793.39,0.79219,1.16962,0.96368,0.93903,0.2,0.27451,0.25588,0.9905,2.99624,1.00879,0.00073378,0.00073378,0.00073378
33,2857.88,0.79782,1.31804,0.96324,0.93903,0.2,0.27451,0.25588,0.9905,2.99624,1.00879,0.000718144,0.000718144,0.000718144
34,2912.17,0.74201,1.23782,0.9419,0.40302,0.3,0.36959,0.31777,1.00083,2.73665,0.98459,0.0006932,0.0006932,0.0006932
35,2974.42,0.71892,1.27026,0.95639,0.7587,0.6,0.63939,0.46259,0.96393,2.5218,0.95948,0.0006536,0.0006536,0.0006536
36,3105.19,0.7635,1.09294,0.95226,0.93396,0.6,0.6998,0.50487,0.94767,2.34481,0.94654,0.000614,0.000614,0.000614
37,3311.23,0.75376,1.1843,0.98039,0.93396,0.6,0.6998,0.50487,0.94767,2.34481,0.94654,0.0005744,0.0005744,0.0005744
38,3443.32,0.76875,1.49977,0.95695,0.95474,0.6,0.74554,0.54617,0.90828,2.17452,0.92126,0.0005348,0.0005348,0.0005348
39,3535.06,0.64579,1.12926,0.95337,0.78146,0.71658,0.78412,0.5879,0.88497,2.04572,0.90728,0.0004952,0.0004952,0.0004952
40,3684.6,0.82304,1.13465,0.94548,1,0.69344,0.83662,0.6224,0.86491,1.93201,0.90315,0.0004556,0.0004556,0.0004556
41,3916.86,0.6986,1.3991,0.84346,1,0.69344,0.83662,0.6224,0.86491,1.93201,0.90315,0.000416,0.000416,0.000416
42,3996.57,0.60216,1.27783,0.89512,0.95354,0.8,0.86569,0.61819,0.87492,1.95172,0.90341,0.0003764,0.0003764,0.0003764
43,4082.13,0.5852,1.26204,0.85787,0.99472,0.8,0.87179,0.62767,0.93842,2.03493,0.92004,0.0003368,0.0003368,0.0003368
44,4192.71,0.50588,1.38513,0.83445,1,0.77159,0.90423,0.62679,0.94358,2.04359,0.92949,0.0002972,0.0002972,0.0002972
45,4255.44,0.71806,1.53495,0.8095,1,0.77159,0.90423,0.62679,0.94358,2.04359,0.92949,0.0002576,0.0002576,0.0002576
46,4347.15,0.55367,1.32209,0.91377,0.89055,0.81493,0.93382,0.6773,0.92745,1.98088,0.92377,0.000218,0.000218,0.000218
47,4449.1,0.55592,1.24424,0.85039,0.89641,0.9,0.95167,0.72427,0.88459,1.87898,0.91279,0.0001784,0.0001784,0.0001784
48,4543.68,0.59725,1.34955,0.83479,0.88091,0.9,0.96833,0.78167,0.84541,1.77447,0.90206,0.0001388,0.0001388,0.0001388
49,4652.84,0.49086,1.25106,0.8206,0.88091,0.9,0.96833,0.78167,0.84541,1.77447,0.90206,9.92e-05,9.92e-05,9.92e-05
50,4738.26,0.49022,1.27334,0.80667,0.86853,0.9,0.96833,0.77665,0.8316,1.69554,0.89877,5.96e-05,5.96e-05,5.96e-05
